"Label (Grouping)","Atlanta city, Georgia!!Estimate"
"Total:","463,875"
"    Not Hispanic or Latino:","445,222"
"        White alone","176,998"
"        Black or African American alone","239,159"
"        American Indian and Alaska Native alone","652"
"        Asian alone","20,335"
"        Native Hawaiian and Other Pacific Islander alone","147"
"        Some other race alone","265"
"        Two or more races:","7,666"
"            Two races including Some other race","405"
"            Two races excluding Some other race, and three or more races","7,261"
"    Hispanic or Latino:","18,653"
"        White alone","12,155"
"        Black or African American alone","1,440"
"        American Indian and Alaska Native alone","651"
"        Asian alone","81"
"        Native Hawaiian and Other Pacific Islander alone","316"
"        Some other race alone","2,282"
"        Two or more races:","1,728"
"            Two races including Some other race","529"
"            Two races excluding Some other race, and three or more races","1,199"
