"Label (Grouping)","Atlanta city, Georgia!!Estimate"
"Total:","498,073"
"    Not Hispanic or Latino:","475,094"
"        White alone","189,230"
"        Black or African American alone","252,493"
"        American Indian and Alaska Native alone","495"
"        Asian alone","19,875"
"        Native Hawaiian and Other Pacific Islander alone","142"
"        Some other race alone","1,324"
"        Two or more races:","11,535"
"            Two races including Some other race","471"
"            Two races excluding Some other race, and three or more races","11,064"
"    Hispanic or Latino:","22,979"
"        White alone","14,285"
"        Black or African American alone","1,277"
"        American Indian and Alaska Native alone","323"
"        Asian alone","144"
"        Native Hawaiian and Other Pacific Islander alone","0"
"        Some other race alone","5,214"
"        Two or more races:","1,736"
"            Two races including Some other race","571"
"            Two races excluding Some other race, and three or more races","1,165"
