"Label (Grouping)","Atlanta city, Georgia!!Estimate"
"Total:","486,299"
"    Not Hispanic or Latino:","465,421"
"        White alone","179,296"
"        Black or African American alone","253,556"
"        American Indian and Alaska Native alone","374"
"        Asian alone","19,551"
"        Native Hawaiian and Other Pacific Islander alone","0"
"        Some other race alone","2,129"
"        Two or more races:","10,515"
"            Two races including Some other race","144"
"            Two races excluding Some other race, and three or more races","10,371"
"    Hispanic or Latino:","20,878"
"        White alone","11,119"
"        Black or African American alone","3,332"
"        American Indian and Alaska Native alone","330"
"        Asian alone","0"
"        Native Hawaiian and Other Pacific Islander alone","0"
"        Some other race alone","4,409"
"        Two or more races:","1,688"
"            Two races including Some other race","766"
"            Two races excluding Some other race, and three or more races","922"
